"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.242562542E0,-7.160980225E0,6.241058350E0,-3.852465820E1,3.967845431E1
2.252536542E0,-7.300613403E0,6.248703003E0,-3.830548096E1,3.949246911E1
2.262510542E0,-7.457153320E0,6.183815002E0,-3.845120239E1,3.965278892E1
2.272485542E0,-7.300415039E0,6.141090393E0,-3.823764038E1,3.940972206E1
2.282459542E0,-7.140884399E0,5.966758728E0,-3.815246582E1,3.927091911E1
2.292433542E0,-7.065689087E0,5.746215820E0,-3.822937012E1,3.929920735E1
2.302407542E0,-6.937026978E0,5.746322632E0,-3.837808228E1,3.942105740E1
2.312381542E0,-6.860183716E0,5.597183228E0,-3.845675659E1,3.946280158E1
2.322355542E0,-6.781753540E0,5.600112915E0,-3.846319580E1,3.945593589E1
2.332329542E0,-6.631713867E0,5.479484558E0,-3.830084229E1,3.925504935E1
2.342303542E0,-6.471328735E0,5.551498413E0,-3.808047485E1,3.902332373E1
2.352277542E0,-6.331405640E0,5.502548218E0,-3.824758911E1,3.915664448E1
2.362252542E0,-6.310012817E0,5.405204773E0,-3.831140137E1,3.920198943E1
2.372226542E0,-6.343704224E0,5.337951660E0,-3.854986572E1,3.943131317E1
2.382200542E0,-6.261596680E0,5.404884338E0,-3.833447266E1,3.921673318E1
2.392174542E0,-6.266113281E0,5.292900085E0,-3.863650513E1,3.949757582E1
2.402148542E0,-6.171997070E0,5.148017883E0,-3.856430054E1,3.939290433E1
2.412122542E0,-6.169296265E0,5.176467896E0,-3.855648804E1,3.938856187E1
2.422096542E0,-6.316253662E0,5.214668274E0,-3.852252197E1,3.938365809E1
2.432070542E0,-6.391876221E0,5.000602722E0,-3.848873901E1,3.933503705E1
2.442044542E0,-6.500823975E0,5.035720825E0,-3.856198120E1,3.942899429E1
2.452019542E0,-6.649963379E0,4.922126770E0,-3.840573120E1,3.928676029E1
2.461993542E0,-6.636611938E0,4.982460022E0,-3.852566528E1,3.940934421E1
2.471967542E0,-6.613357544E0,5.009338379E0,-3.854129028E1,3.942411731E1
2.481941542E0,-6.610458374E0,4.909553528E0,-3.855282593E1,3.942235740E1
2.491915542E0,-6.537643433E0,4.830032349E0,-3.863616943E1,3.948193996E1
2.501889542E0,-6.399246216E0,4.895545959E0,-3.869720459E1,3.952708395E1
2.511863542E0,-6.371002197E0,4.918785095E0,-3.857083130E1,3.940168959E1
2.521837542E0,-6.183044434E0,4.919639587E0,-3.862005615E1,3.942006633E1
2.531811542E0,-6.082962036E0,5.119926453E0,-3.860522461E1,3.941547210E1
2.541785542E0,-6.090927124E0,5.211349487E0,-3.876040649E1,3.958063502E1
2.551760542E0,-6.030685425E0,5.245491028E0,-3.856072998E1,3.938037886E1
2.561734542E0,-6.212966919E0,5.046470642E0,-3.859799194E1,3.941919337E1
2.571708542E0,-6.094573975E0,5.198265076E0,-3.868344116E1,3.950410627E1
2.581682542E0,-6.002151489E0,5.167884827E0,-3.888836670E1,3.968674742E1
2.591656542E0,-5.948623657E0,5.289878845E0,-3.880157471E1,3.960973544E1
2.601630542E0,-5.929794312E0,5.187347412E0,-3.886044312E1,3.965104126E1
