"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.227211302E0,1.665299988E1,-2.287500000E1,-4.202899933E1,5.066581505E1
2.237211302E0,1.659199905E1,-2.294820023E1,-4.199239731E1,5.064855139E1
2.247211302E0,1.654319954E1,-2.302140045E1,-4.194359970E1,5.062536800E1
2.257211302E0,1.649440002E1,-2.313119888E1,-4.191920090E1,5.063928315E1
2.267211302E0,1.644560051E1,-2.320439911E1,-4.188259888E1,5.062661358E1
2.277211302E0,1.639679909E1,-2.328979874E1,-4.184600067E1,5.061973447E1
2.287211302E0,1.627479935E1,-2.339959908E1,-4.180939865E1,5.060075243E1
2.297211302E0,1.620159912E1,-2.348499870E1,-4.174839783E1,5.056644836E1
2.307211302E0,1.617720032E1,-2.353380013E1,-4.168740082E1,5.053098995E1
2.317211302E0,1.615279961E1,-2.357040024E1,-4.166299820E1,5.052011601E1
2.327211302E0,1.607959938E1,-2.360700035E1,-4.165079880E1,5.050379216E1
2.337211302E0,1.600639915E1,-2.360700035E1,-4.156539917E1,5.041009510E1
2.347211302E0,1.595759964E1,-2.365579987E1,-4.150439835E1,5.036722084E1
2.357211302E0,1.593319988E1,-2.368019867E1,-4.146780014E1,5.034080965E1
2.367211302E0,1.592099953E1,-2.368019867E1,-4.145560074E1,5.032690004E1
2.377211302E0,1.592099953E1,-2.370459938E1,-4.143119812E1,5.031829126E1
2.387211302E0,1.587220001E1,-2.375339890E1,-4.140679932E1,5.030580207E1
2.397211302E0,1.587220001E1,-2.374119949E1,-4.139459991E1,5.029000088E1
2.407211302E0,1.583559990E1,-2.376560020E1,-4.138240051E1,5.027994679E1
2.417211302E0,1.584779930E1,-2.377779961E1,-4.143119812E1,5.032971959E1
2.427211302E0,1.584779930E1,-2.375339890E1,-4.137019730E1,5.026798112E1
2.437211302E0,1.585999966E1,-2.374119949E1,-4.139459991E1,5.028615162E1
2.447211302E0,1.589659977E1,-2.370459938E1,-4.137019730E1,5.026035356E1
2.457211302E0,1.585999966E1,-2.364360046E1,-4.134579849E1,5.019994507E1
2.467211302E0,1.590880013E1,-2.359479904E1,-4.130920029E1,5.016228156E1
2.477211302E0,1.593319988E1,-2.359479904E1,-4.127259827E1,5.013989198E1
2.487211302E0,1.594539928E1,-2.353380013E1,-4.124819946E1,5.009500440E1
2.497211302E0,1.598199940E1,-2.344840050E1,-4.132139969E1,5.012693750E1
2.507211302E0,1.598199940E1,-2.338739967E1,-4.141899872E1,5.017896196E1
2.517211302E0,1.596980000E1,-2.331419945E1,-4.139459991E1,5.012084706E1
2.527211302E0,1.596980000E1,-2.322879982E1,-4.144339752E1,5.012152084E1
2.537211302E0,1.600639915E1,-2.315559959E1,-4.141899872E1,5.007913798E1
2.547211302E0,1.594539928E1,-2.310680008E1,-4.141899872E1,5.003712045E1
2.557211302E0,1.595759964E1,-2.304579926E1,-4.138240051E1,4.998256618E1
2.567211302E0,1.600639915E1,-2.300919914E1,-4.135799789E1,4.996110536E1
