"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.713541250E-1,5.954040527E0,-2.549597168E1,-3.602105713E1,4.453101983E1
9.813281250E-1,5.979248047E0,-2.554112244E1,-3.579443359E1,4.437726691E1
9.913031250E-1,5.861328125E0,-2.543916321E1,-3.590509033E1,4.439236087E1
1.001277125E0,5.705017090E0,-2.553239441E1,-3.605679321E1,4.454820671E1
1.011251125E0,5.639556885E0,-2.553050232E1,-3.586108398E1,4.438049679E1
1.021226125E0,5.603790283E0,-2.554090118E1,-3.577398682E1,4.431160380E1
1.031200125E0,5.634277344E0,-2.553711700E1,-3.561846924E1,4.418783517E1
1.041174125E0,5.564712524E0,-2.544722748E1,-3.566827393E1,4.416733155E1
1.051149125E0,5.541030884E0,-2.556726837E1,-3.587890625E1,4.440365018E1
1.061123125E0,5.833221436E0,-2.550827789E1,-3.573779297E1,4.429321121E1
1.071097125E0,6.078384399E0,-2.546086884E1,-3.561318970E1,4.419843752E1
1.081071125E0,6.043823242E0,-2.559028625E1,-3.558639526E1,4.424683127E1
1.091046125E0,6.227020264E0,-2.544246674E1,-3.569332886E1,4.427311396E1
1.101020125E0,6.369537354E0,-2.547191620E1,-3.541256714E1,4.408445794E1
1.110994125E0,6.453689575E0,-2.540678406E1,-3.535763550E1,4.401496533E1
1.120969125E0,6.543487549E0,-2.541279602E1,-3.540972900E1,4.407353332E1
1.130943125E0,6.690551758E0,-2.520593262E1,-3.541442871E1,4.398049889E1
1.140917125E0,6.790969849E0,-2.519889832E1,-3.532141113E1,4.391701074E1
1.150892125E0,6.829193115E0,-2.506761932E1,-3.519808960E1,4.374847344E1
1.160866125E0,6.645614624E0,-2.527188873E1,-3.543234253E1,4.402594066E1
1.170840125E0,6.815200806E0,-2.520739746E1,-3.563751221E1,4.418022323E1
1.180815125E0,6.711318970E0,-2.525808716E1,-3.557305908E1,4.414131060E1
1.190789125E0,6.815628052E0,-2.511319733E1,-3.556454468E1,4.406770137E1
1.200763125E0,6.793090820E0,-2.502912140E1,-3.556008911E1,4.401275881E1
1.210737125E0,6.729980469E0,-2.504640198E1,-3.553558350E1,4.399309700E1
1.220712125E0,6.768600464E0,-2.503907013E1,-3.545355225E1,4.392861655E1
1.230686125E0,6.892364502E0,-2.508678436E1,-3.537957764E1,4.391544093E1
1.240660125E0,7.074707031E0,-2.493128204E1,-3.556753540E1,4.400761160E1
1.250635125E0,7.088867188E0,-2.485291290E1,-3.556887817E1,4.396662839E1
1.260609125E0,7.221420288E0,-2.486466980E1,-3.553036499E1,4.396370721E1
1.270583125E0,7.272216797E0,-2.485224915E1,-3.542660522E1,4.388124636E1
1.280558125E0,7.282150269E0,-2.471605682E1,-3.524047852E1,4.365552088E1
1.290532125E0,7.324478149E0,-2.468444061E1,-3.527679443E1,4.367404051E1
1.300506125E0,7.361236572E0,-2.466120148E1,-3.541213989E1,4.377650413E1
1.310481125E0,7.386886597E0,-2.463322449E1,-3.537634277E1,4.373611174E1
1.320455125E0,7.426467896E0,-2.453090668E1,-3.542739868E1,4.372663245E1
1.330429125E0,7.489532471E0,-2.444751740E1,-3.547677612E1,4.373071972E1
1.340403125E0,7.498107910E0,-2.448489380E1,-3.518225098E1,4.351462318E1
1.350378125E0,7.517913818E0,-2.453098297E1,-3.535565186E1,4.368421078E1
1.360352125E0,7.467208862E0,-2.454117584E1,-3.523480225E1,4.358348092E1
1.370326125E0,7.519470215E0,-2.459520721E1,-3.527355957E1,4.365421692E1
